loss:   3.73, ppl:  41.52, acc:   0.12
loss:   3.41, ppl:  30.25, acc:   0.16
loss:   3.29, ppl:  26.94, acc:   0.17
loss:   3.21, ppl:  24.82, acc:   0.19
loss:   3.16, ppl:  23.48, acc:   0.20
loss:   3.11, ppl:  22.33, acc:   0.21
loss:   3.06, ppl:  21.43, acc:   0.22
loss:   3.03, ppl:  20.71, acc:   0.23
loss:   3.01, ppl:  20.24, acc:   0.23
loss:   2.98, ppl:  19.65, acc:   0.24
loss:   2.95, ppl:  19.06, acc:   0.25
loss:   2.92, ppl:  18.62, acc:   0.25
loss:   2.90, ppl:  18.13, acc:   0.25
loss:   2.88, ppl:  17.87, acc:   0.26
loss:   2.86, ppl:  17.51, acc:   0.26
loss:   2.84, ppl:  17.03, acc:   0.27
loss:   2.80, ppl:  16.47, acc:   0.28
loss:   2.79, ppl:  16.34, acc:   0.28
loss:   2.78, ppl:  16.04, acc:   0.28
loss:   2.75, ppl:  15.66, acc:   0.29
loss:   2.72, ppl:  15.13, acc:   0.30
loss:   2.67, ppl:  14.51, acc:   0.31
loss:   2.65, ppl:  14.10, acc:   0.31
loss:   2.61, ppl:  13.56, acc:   0.33
loss:   2.59, ppl:  13.28, acc:   0.33
loss:   2.55, ppl:  12.83, acc:   0.34
loss:   2.51, ppl:  12.35, acc:   0.35
loss:   2.50, ppl:  12.13, acc:   0.36
loss:   2.47, ppl:  11.80, acc:   0.37
loss:   2.45, ppl:  11.62, acc:   0.37
loss:   2.43, ppl:  11.36, acc:   0.37
loss:   2.40, ppl:  11.01, acc:   0.38
loss:   2.40, ppl:  10.97, acc:   0.39
loss:   2.39, ppl:  10.88, acc:   0.39
loss:   2.38, ppl:  10.77, acc:   0.39
loss:   2.36, ppl:  10.61, acc:   0.40
loss:   2.37, ppl:  10.68, acc:   0.39
loss:   2.35, ppl:  10.46, acc:   0.39
loss:   2.33, ppl:  10.25, acc:   0.40
loss:   2.32, ppl:  10.15, acc:   0.40
loss:   2.32, ppl:  10.16, acc:   0.40
loss:   2.32, ppl:  10.13, acc:   0.41
loss:   2.30, ppl:   9.94, acc:   0.41
loss:   2.30, ppl:   9.92, acc:   0.41
loss:   2.30, ppl:   9.93, acc:   0.41
loss:   2.28, ppl:   9.74, acc:   0.41
loss:   2.28, ppl:   9.76, acc:   0.41
loss:   2.27, ppl:   9.71, acc:   0.41
loss:   2.26, ppl:   9.57, acc:   0.42
loss:   2.27, ppl:   9.63, acc:   0.42
loss:   2.26, ppl:   9.56, acc:   0.42
loss:   2.24, ppl:   9.41, acc:   0.42
loss:   2.24, ppl:   9.43, acc:   0.42
loss:   2.23, ppl:   9.31, acc:   0.43
loss:   2.23, ppl:   9.33, acc:   0.43
loss:   2.22, ppl:   9.17, acc:   0.43
loss:   2.22, ppl:   9.16, acc:   0.43
loss:   2.21, ppl:   9.15, acc:   0.43
loss:   2.22, ppl:   9.18, acc:   0.43
loss:   2.22, ppl:   9.16, acc:   0.43
loss:   2.20, ppl:   9.05, acc:   0.43
loss:   2.20, ppl:   9.03, acc:   0.44
loss:   2.22, ppl:   9.19, acc:   0.43
loss:   2.18, ppl:   8.85, acc:   0.44
loss:   2.18, ppl:   8.89, acc:   0.44
loss:   2.18, ppl:   8.89, acc:   0.44
loss:   2.18, ppl:   8.85, acc:   0.44
loss:   2.20, ppl:   8.98, acc:   0.43
loss:   2.19, ppl:   8.96, acc:   0.44
loss:   2.18, ppl:   8.81, acc:   0.44
loss:   2.17, ppl:   8.75, acc:   0.44
loss:   2.17, ppl:   8.76, acc:   0.44
loss:   2.16, ppl:   8.68, acc:   0.44
loss:   2.17, ppl:   8.78, acc:   0.44
loss:   2.17, ppl:   8.78, acc:   0.44
loss:   2.16, ppl:   8.70, acc:   0.44
loss:   2.16, ppl:   8.70, acc:   0.44
loss:   2.15, ppl:   8.57, acc:   0.45
loss:   2.16, ppl:   8.65, acc:   0.45
loss:   2.15, ppl:   8.59, acc:   0.45
loss:   2.15, ppl:   8.55, acc:   0.45
