loss:   3.80, ppl:  44.83, acc:   0.11
loss:   3.43, ppl:  30.77, acc:   0.16
loss:   3.27, ppl:  26.44, acc:   0.18
loss:   3.16, ppl:  23.54, acc:   0.20
loss:   3.08, ppl:  21.75, acc:   0.22
loss:   3.01, ppl:  20.31, acc:   0.23
loss:   2.96, ppl:  19.22, acc:   0.24
loss:   2.89, ppl:  17.95, acc:   0.26
loss:   2.84, ppl:  17.05, acc:   0.27
loss:   2.77, ppl:  15.92, acc:   0.29
loss:   2.68, ppl:  14.59, acc:   0.31
loss:   2.60, ppl:  13.46, acc:   0.34
loss:   2.56, ppl:  12.90, acc:   0.34
loss:   2.51, ppl:  12.25, acc:   0.36
loss:   2.47, ppl:  11.79, acc:   0.37
loss:   2.43, ppl:  11.38, acc:   0.37
loss:   2.40, ppl:  11.07, acc:   0.38
loss:   2.39, ppl:  10.91, acc:   0.39
loss:   2.37, ppl:  10.70, acc:   0.39
loss:   2.35, ppl:  10.52, acc:   0.39
loss:   2.34, ppl:  10.35, acc:   0.40
loss:   2.32, ppl:  10.14, acc:   0.40
loss:   2.30, ppl:   9.93, acc:   0.41
loss:   2.29, ppl:   9.84, acc:   0.41
loss:   2.28, ppl:   9.73, acc:   0.41
loss:   2.27, ppl:   9.68, acc:   0.41
loss:   2.25, ppl:   9.51, acc:   0.42
loss:   2.25, ppl:   9.49, acc:   0.42
loss:   2.23, ppl:   9.30, acc:   0.42
loss:   2.22, ppl:   9.21, acc:   0.43
loss:   2.23, ppl:   9.27, acc:   0.42
loss:   2.21, ppl:   9.09, acc:   0.43
loss:   2.21, ppl:   9.10, acc:   0.43
loss:   2.20, ppl:   9.03, acc:   0.43
loss:   2.20, ppl:   8.99, acc:   0.44
loss:   2.19, ppl:   8.96, acc:   0.43
loss:   2.19, ppl:   8.95, acc:   0.43
loss:   2.18, ppl:   8.87, acc:   0.43
loss:   2.17, ppl:   8.76, acc:   0.44
loss:   2.16, ppl:   8.65, acc:   0.44
loss:   2.17, ppl:   8.73, acc:   0.44
loss:   2.16, ppl:   8.68, acc:   0.44
loss:   2.15, ppl:   8.61, acc:   0.44
loss:   2.15, ppl:   8.55, acc:   0.44
loss:   2.15, ppl:   8.61, acc:   0.44
loss:   2.14, ppl:   8.51, acc:   0.45
loss:   2.14, ppl:   8.49, acc:   0.45
loss:   2.14, ppl:   8.47, acc:   0.45
loss:   2.13, ppl:   8.42, acc:   0.45
loss:   2.13, ppl:   8.45, acc:   0.45
loss:   2.13, ppl:   8.40, acc:   0.45
loss:   2.12, ppl:   8.37, acc:   0.45
loss:   2.13, ppl:   8.39, acc:   0.45
loss:   2.13, ppl:   8.41, acc:   0.45
loss:   2.11, ppl:   8.29, acc:   0.45
loss:   2.11, ppl:   8.24, acc:   0.45
loss:   2.11, ppl:   8.28, acc:   0.45
loss:   2.11, ppl:   8.23, acc:   0.46
loss:   2.11, ppl:   8.28, acc:   0.45
loss:   2.11, ppl:   8.23, acc:   0.45
loss:   2.11, ppl:   8.22, acc:   0.46
loss:   2.10, ppl:   8.13, acc:   0.46
loss:   2.10, ppl:   8.14, acc:   0.46
loss:   2.09, ppl:   8.09, acc:   0.46
loss:   2.09, ppl:   8.09, acc:   0.46
loss:   2.10, ppl:   8.17, acc:   0.46
loss:   2.10, ppl:   8.18, acc:   0.46
loss:   2.10, ppl:   8.17, acc:   0.46
loss:   2.09, ppl:   8.10, acc:   0.46
loss:   2.09, ppl:   8.11, acc:   0.46
loss:   2.08, ppl:   8.03, acc:   0.46
loss:   2.08, ppl:   8.03, acc:   0.46
loss:   2.07, ppl:   7.94, acc:   0.46
loss:   2.09, ppl:   8.09, acc:   0.46
loss:   2.10, ppl:   8.14, acc:   0.46
loss:   2.08, ppl:   8.02, acc:   0.46
loss:   2.09, ppl:   8.05, acc:   0.46
loss:   2.07, ppl:   7.96, acc:   0.46
loss:   2.08, ppl:   8.02, acc:   0.46
loss:   2.08, ppl:   7.97, acc:   0.46
loss:   2.07, ppl:   7.92, acc:   0.46
