loss:   4.04, ppl:  56.61, acc:   0.09
loss:   3.91, ppl:  49.93, acc:   0.09
loss:   3.81, ppl:  45.33, acc:   0.10
loss:   3.56, ppl:  35.25, acc:   0.14
loss:   3.35, ppl:  28.44, acc:   0.17
loss:   3.25, ppl:  25.79, acc:   0.18
loss:   3.17, ppl:  23.77, acc:   0.20
loss:   3.11, ppl:  22.40, acc:   0.21
loss:   3.06, ppl:  21.26, acc:   0.22
loss:   2.99, ppl:  19.87, acc:   0.24
loss:   2.93, ppl:  18.80, acc:   0.25
loss:   2.87, ppl:  17.61, acc:   0.27
loss:   2.81, ppl:  16.55, acc:   0.28
loss:   2.74, ppl:  15.42, acc:   0.31
loss:   2.66, ppl:  14.26, acc:   0.33
loss:   2.59, ppl:  13.30, acc:   0.34
loss:   2.54, ppl:  12.62, acc:   0.36
loss:   2.51, ppl:  12.25, acc:   0.36
loss:   2.47, ppl:  11.83, acc:   0.37
loss:   2.44, ppl:  11.48, acc:   0.38
loss:   2.42, ppl:  11.19, acc:   0.39
loss:   2.38, ppl:  10.82, acc:   0.39
loss:   2.37, ppl:  10.69, acc:   0.39
loss:   2.36, ppl:  10.58, acc:   0.39
loss:   2.34, ppl:  10.41, acc:   0.40
loss:   2.33, ppl:  10.24, acc:   0.41
loss:   2.31, ppl:  10.05, acc:   0.41
loss:   2.30, ppl:   9.97, acc:   0.41
loss:   2.29, ppl:   9.84, acc:   0.42
loss:   2.28, ppl:   9.75, acc:   0.42
loss:   2.26, ppl:   9.60, acc:   0.42
loss:   2.24, ppl:   9.41, acc:   0.43
loss:   2.24, ppl:   9.42, acc:   0.43
loss:   2.24, ppl:   9.41, acc:   0.43
loss:   2.23, ppl:   9.30, acc:   0.43
loss:   2.22, ppl:   9.22, acc:   0.43
loss:   2.22, ppl:   9.25, acc:   0.43
loss:   2.21, ppl:   9.12, acc:   0.43
loss:   2.19, ppl:   8.97, acc:   0.44
loss:   2.19, ppl:   8.92, acc:   0.44
loss:   2.19, ppl:   8.92, acc:   0.44
loss:   2.19, ppl:   8.95, acc:   0.44
loss:   2.19, ppl:   8.92, acc:   0.44
loss:   2.18, ppl:   8.86, acc:   0.44
loss:   2.18, ppl:   8.81, acc:   0.44
loss:   2.17, ppl:   8.75, acc:   0.45
loss:   2.16, ppl:   8.70, acc:   0.45
loss:   2.16, ppl:   8.66, acc:   0.45
loss:   2.15, ppl:   8.59, acc:   0.45
loss:   2.16, ppl:   8.68, acc:   0.45
loss:   2.16, ppl:   8.63, acc:   0.45
loss:   2.15, ppl:   8.57, acc:   0.45
loss:   2.16, ppl:   8.65, acc:   0.45
loss:   2.15, ppl:   8.55, acc:   0.45
loss:   2.14, ppl:   8.53, acc:   0.45
loss:   2.13, ppl:   8.42, acc:   0.46
loss:   2.13, ppl:   8.41, acc:   0.46
loss:   2.13, ppl:   8.38, acc:   0.46
loss:   2.13, ppl:   8.44, acc:   0.45
loss:   2.13, ppl:   8.44, acc:   0.45
loss:   2.13, ppl:   8.39, acc:   0.46
loss:   2.12, ppl:   8.34, acc:   0.46
loss:   2.13, ppl:   8.39, acc:   0.46
loss:   2.11, ppl:   8.23, acc:   0.46
loss:   2.10, ppl:   8.19, acc:   0.46
loss:   2.12, ppl:   8.33, acc:   0.46
loss:   2.12, ppl:   8.33, acc:   0.46
loss:   2.12, ppl:   8.33, acc:   0.46
loss:   2.11, ppl:   8.27, acc:   0.46
loss:   2.11, ppl:   8.24, acc:   0.46
loss:   2.10, ppl:   8.20, acc:   0.46
loss:   2.09, ppl:   8.12, acc:   0.46
loss:   2.09, ppl:   8.11, acc:   0.46
loss:   2.11, ppl:   8.25, acc:   0.46
loss:   2.11, ppl:   8.27, acc:   0.46
loss:   2.10, ppl:   8.13, acc:   0.47
loss:   2.11, ppl:   8.23, acc:   0.46
loss:   2.09, ppl:   8.10, acc:   0.46
loss:   2.09, ppl:   8.11, acc:   0.46
loss:   2.10, ppl:   8.15, acc:   0.46
loss:   2.08, ppl:   8.01, acc:   0.47
