validation ppl	baseline	post	pre
500	56.61	41.52	44.83
1000	49.93	30.25	30.77
1500	45.33	26.94	26.44
2000	35.25	24.82	23.54
2500	28.44	23.48	21.75
3000	25.79	22.33	20.31
3500	23.77	21.43	19.22
4000	22.40	20.71	17.95
4500	21.26	20.24	17.05
5000	19.87	19.65	15.92
5500	18.80	19.06	14.59
6000	17.61	18.62	13.46
6500	16.55	18.13	12.90
7000	15.42	17.87	12.25
7500	14.26	17.51	11.79
8000	13.30	17.03	11.38
8500	12.62	16.47	11.07
9000	12.25	16.34	10.91
9500	11.83	16.04	10.70
10000	11.48	15.66	10.52
10500	11.19	15.13	10.35
11000	10.82	14.51	10.14
11500	10.69	14.10	9.93
12000	10.58	13.56	9.84
12500	10.41	13.28	9.73
13000	10.24	12.83	9.68
13500	10.05	12.35	9.51
14000	9.97	12.13	9.49
14500	9.84	11.80	9.30
15000	9.75	11.62	9.21
15500	9.60	11.36	9.27
16000	9.41	11.01	9.09
16500	9.42	10.97	9.10
17000	9.41	10.88	9.03
17500	9.30	10.77	8.99
18000	9.22	10.61	8.96
18500	9.25	10.68	8.95
19000	9.12	10.46	8.87
19500	8.97	10.25	8.76
20000	8.92	10.15	8.65
20500	8.92	10.16	8.73
21000	8.95	10.13	8.68
21500	8.92	9.94	8.61
22000	8.86	9.92	8.55
22500	8.81	9.93	8.61
23000	8.75	9.74	8.51
23500	8.70	9.76	8.49
24000	8.66	9.71	8.47
24500	8.59	9.57	8.42
25000	8.68	9.63	8.45
25500	8.63	9.56	8.40
26000	8.57	9.41	8.37
26500	8.65	9.43	8.39
27000	8.55	9.31	8.41
27500	8.53	9.33	8.29
28000	8.42	9.17	8.24
28500	8.41	9.16	8.28
29000	8.38	9.15	8.23
29500	8.44	9.18	8.28
30000	8.44	9.16	8.23
30500	8.39	9.05	8.22
31000	8.34	9.03	8.13
31500	8.39	9.19	8.14
32000	8.23	8.85	8.09
32500	8.19	8.89	8.09
33000	8.33	8.89	8.17
33500	8.33	8.85	8.18
34000	8.33	8.98	8.17
34500	8.27	8.96	8.10
35000	8.24	8.81	8.11
35500	8.20	8.75	8.03
36000	8.12	8.76	8.03
36500	8.11	8.68	7.94
37000	8.25	8.78	8.09
37500	8.27	8.78	8.14
38000	8.13	8.70	8.02
38500	8.23	8.70	8.05
39000	8.10	8.57	7.96
39500	8.11	8.65	8.02
40000	8.15	8.59	7.97
40500	8.01	8.55	7.92
